5
10 20
U 8 9
U 1 2
U 0 0
U 0 1
U 8 6
U 2 4
U 3 5
U 4 3
U 8 2
U 9 5
Q 9 5
Q 8 4
Q 8 7
Q 5 1
Q 9 6
Q 3 7
Q 8 6
Q 1 8
Q 7 1
Q 2 5
10 20
U 8 4
U 1 3
U 9 5
U 8 9
U 9 8
U 6 0
U 5 7
U 5 3
U 4 2
U 6 3
Q 9 1
Q 2 7
Q 8 3
Q 7 7
Q 5 9
Q 4 5
Q 5 5
Q 8 7
Q 2 8
Q 8 4
10 20
U 6 5
U 4 3
U 2 9
U 6 8
U 2 4
U 2 3
U 6 6
U 2 6
U 0 1
U 3 5
Q 3 7
Q 2 8
Q 4 2
Q 7 8
Q 0 6
Q 2 9
Q 3 7
Q 2 5
Q 8 1
Q 3 0
10 20
U 5 7
U 5 3
U 4 7
U 9 6
U 9 2
U 3 2
U 1 5
U 2 5
U 7 0
U 6 9
Q 8 8
Q 8 1
Q 5 3
Q 8 6
Q 4 3
Q 8 1
Q 3 4
Q 7 7
Q 3 6
Q 5 4
10 20
U 1 8
U 8 2
U 3 1
U 0 2
U 3 6
U 3 3
U 4 2
U 6 2
U 7 4
U 0 3
Q 7 8
Q 4 0
Q 2 1
Q 9 8
Q 0 4
Q 2 1
Q 2 1
Q 5 7
Q 4 5
Q 1 9
